"Points:0","Points:1","Points:2","pressure","total_pressure","velocity_magnitude","x_velocity","y_velocity","z_velocity"
-0.70701,-0.34038,1.0444,-52.632,603.71,0,0,0,0
-0.70692,-0.33818,1.0446,-50.565,602.36,0,0,0,0
-0.70689,-0.33778,1.045,-45.414,606.35,0,0,0,0
-0.70665,-0.33209,1.0459,-36.348,601.67,0,0,0,0
-0.70655,-0.33067,1.0473,-28.55,607.15,0,0,0,0
-0.7067,-0.33373,1.0461,-38.154,607.04,0,0,0,0
-0.70613,-0.33279,1.0305,-468.27,607.64,0,0,0,0
-0.70639,-0.33281,1.031,-280.66,739.08,0,0,0,0
-0.70691,-0.3342,1.0311,-250.16,779.02,0,0,0,0
-0.70621,-0.33474,1.0301,-480.26,634.82,0,0,0,0
-0.70738,-0.33799,1.0301,-387.86,781.84,0,0,0,0
-0.70699,-0.33796,1.0299,-530.01,714.13,0,0,0,0
-0.70646,-0.3368,1.0299,-551.07,707.97,0,0,0,0
-0.70693,-0.33613,1.0303,-477.71,739.07,0,0,0,0
-0.70723,-0.33616,1.0305,-329.7,829.2,0,0,0,0
-0.70607,-0.33676,1.0297,-558.78,592.1,0,0,0,0
-0.70711,-0.33461,1.0319,-165.43,755.53,0,0,0,0
-0.70721,-0.33543,1.0321,-144.9,755.18,0,0,0,0
-0.70726,-0.33633,1.0313,-185.28,822.89,0,0,0,0
-0.70645,-0.33868,1.0295,-506.3,701.73,0,0,0,0
-0.70608,-0.33864,1.0293,-513.28,626.2,0,0,0,0
-0.70539,-0.333,1.0305,-586.48,404.29,0,0,0,0
-0.7048,-0.33196,1.0307,-541.71,372.08,0,0,0,0
-0.70535,-0.33104,1.0309,-518.39,373.47,0,0,0,0
-0.70608,-0.33118,1.0308,-432.15,588.64,0,0,0,0
-0.70564,-0.33468,1.0302,-570.99,431.8,0,0,0,0
-0.70509,-0.33385,1.0304,-570.09,402.6,0,0,0,0
-0.70554,-0.33676,1.0297,-525.93,456.64,0,0,0,0
-0.70494,-0.33585,1.03,-523.75,422.48,0,0,0,0
-0.70423,-0.33197,1.0308,-566.04,197.96,0,0,0,0
-0.70431,-0.33391,1.0304,-520.55,198.45,0,0,0,0
-0.70443,-0.33588,1.03,-499.17,210.65,0,0,0,0
-0.70468,-0.33017,1.0313,-373.15,270.86,0,0,0,0
-0.7051,-0.33031,1.0312,-421.09,318.65,0,0,0,0
-0.70422,-0.33101,1.0309,-534.87,261.42,0,0,0,0
-0.70574,-0.32983,1.0313,-587.05,301.39,0,0,0,0
-0.70625,-0.33036,1.031,-468.29,587.1,0,0,0,0
-0.70579,-0.3297,1.0312,-762.79,309.06,0,0,0,0
-0.70596,-0.32961,1.0311,-650.09,513.31,0,0,0,0
-0.70645,-0.33138,1.0313,-300.63,749.73,0,0,0,0
-0.70659,-0.33226,1.0315,-255.33,725.85,0,0,0,0
